Glass,Code,K1,L1,K2,L2,K3,L3,A0,A1,A2,A3,A4,A5,ThermalExpansion1e-7m/K,Melt Frequency,Relative Price,Glass,,,,,,,,,,,,,,,,,,,,,
H-ZLaF89L,954323,2.33250033E+00,1.27519393E-02,3.38027439E-01,5.35631807E-02,1.63568735E+00,1.14949418E+02,,,,,,,72,B,120 ,H-ZLaF89L,,,,,,,,,,,,,,,,,,,,,
H-ZLaF68NB,883392,2.08929269E+00,1.06314610E-02,3.47248008E-01,4.14143957E-02,1.58624783E+00,1.20087801E+02,,,,,,,71,D,120 ,H-ZLaF68NB,,,,,,,,,,,,,,,,,,,,,
D-ZLaF81,809410,1.88618750E+00,9.91169457E-03,2.94671919E-01,4.09687583E-02,1.27989084E+00,9.77975230E+01,,,,,,,64,D,123 ,D-ZLaF81,,,,,,,,,,,,,,,,,,,,,
D-ZLaF81-25,808410,1.90958888E+00,1.02182926E-02,2.66893034E-01,4.21328894E-02,1.26585975E+00,9.70733228E+01,,,,,,,64,D,123 ,D-ZLaF81-25,,,,,,,,,,,,,,,,,,,,,
H-FK71,457903,2.22266610E-01,1.40651220E-02,8.80444178E-01,4.20457400E-03,7.97848915E-01,1.71029818E+02,,,,,,,136,MA,124 ,H-FK71,,,,,,,,,,,,,,,,,,,,,
D-ZLaF85LN,846401,1.92017081E+00,9.61912018E-03,3.86379034E-01,3.89567822E-02,1.29116600E+00,9.79773368E+01,,,,,,,63,C,124 ,D-ZLaF85LN,,,,,,,,,,,,,,,,,,,,,
D-ZLaF85LN-25,844401,1.22657126E+00,9.36444885E+01,3.67411998E-01,3.94561346E-02,1.93493865E+00,9.82834912E-03,,,,,,,63,C,124 ,D-ZLaF85LN-25,,,,,,,,,,,,,,,,,,,,,
H-ZLaF50D,804466,4.97440659E-01,2.85446966E-02,1.67780264E+00,7.88379288E-03,1.32327423E+00,9.40514342E+01,,,,,,,62,D,124 ,H-ZLaF50D,,,,,,,,,,,,,,,,,,,,,
H-K1,500621,8.41282669E-01,1.03641667E+02,1.01521166E+00,6.23224915E-03,2.04021337E-01,2.20570420E-02,,,,,,,87,D,126 ,H-K1,,,,,,,,,,,,,,,,,,,,,
D-LaF53,743493,6.45397592E-01,2.34993570E-02,1.17528667E+00,8.77755219E+01,1.32747885E+00,6.06015970E-03,,,,,,,56,B,126 ,D-LaF53,,,,,,,,,,,,,,,,,,,,,
D-LaF53-25,742493,1.32239317E+00,6.06224219E-03,6.46347208E-01,2.34824415E-02,1.17507569E+00,8.78164211E+01,,,,,,,56,B,126 ,D-LaF53-25,,,,,,,,,,,,,,,,,,,,,
D-ZPK1A,621638,7.23324526E-01,2.88945758E-03,8.63552452E-01,1.42439384E-02,9.85077169E-01,1.16596916E+02,,,,,,,105,B,136 ,D-ZPK1A,,,,,,,,,,,,,,,,,,,,,
D-ZPK1A-25,620638,8.60621496E-01,1.42471941E-02,7.23408663E-01,2.93226364E-03,9.15278780E-01,1.09074599E+02,,,,,,,105,B,136 ,D-ZPK1A-25,,,,,,,,,,,,,,,,,,,,,
H-ZPK3,593673,8.14545367E-01,3.53645413E-03,1.10558900E+00,1.11251357E+02,6.90102416E-01,1.41865271E-02,,,,,,,96,B,138 ,H-ZPK3,,,,,,,,,,,,,,,,,,,,,
H-ZLaF96,051270,2.57270171E+00,1.48425684E-02,4.32410400E-01,5.98520451E-02,2.34870537E+00,1.56640293E+02,,,,,,,72,D,138 ,H-ZLaF96,,,,,,,,,,,,,,,,,,,,,
H-ZF72A,923189,4.70478653E-01,7.36024509E-02,2.55040233E+00,1.49306621E+02,2.00593441E+00,1.62999226E-02,,,,,,,67,MA,138 ,H-ZF72A,,,,,,,,,,,,,,,,,,,,,
H-ZF62,923209,2.55246796E+00,1.62450683E+02,4.65681607E-01,6.95600810E-02,2.02894680E+00,1.47711380E-02,,,,,,,64,MA,138 ,H-ZF62,,,,,,,,,,,,,,,,,,,,,
H-ZF88,946179,2.04275349E+00,1.69742976E-02,1.98276153E+00,1.09068151E+02,5.04267829E-01,7.51710710E-02,,,,,,,60,MA,138 ,H-ZF88,,,,,,,,,,,,,,,,,,,,,
H-ZLaF3,855366,,,,,,,3.33260614E+00,-1.42217301E-02,3.66299952E-02,1.02037909E-03,-3.17481272E-06,5.76556277E-06,60,C,138 ,H-ZLaF3,,,,,,,,,,,,,,,,,,,,,
D-FK61A,497816,7.14812161E-01,1.08370689E-02,5.02984998E-01,1.32155859E-03,8.36119846E-01,1.53360674E+02,,,,,,,126,MA,140 ,D-FK61A,,,,,,,,,,,,,,,,,,,,,
D-FK61A-25,497816,7.14581002E-01,1.08378966E-02,5.02174967E-01,1.32310137E-03,8.38296164E-01,1.53775939E+02,,,,,,,126,MA,140 ,D-FK61A-25,,,,,,,,,,,,,,,,,,,,,
H-ZLaF78B,901371,2.99636528E-01,4.70546260E-02,2.19452718E+00,1.15403970E-02,1.53572385E+00,1.12608928E+02,,,,,,,68,D,141 ,H-ZLaF78B,,,,,,,,,,,,,,,,,,,,,
D-ZPK5,593683,2.59562934E-01,1.96231869E-02,1.24131969E+00,6.19669959E-03,7.87237390E-01,1.23753444E+02,,,,,,,123,D,150 ,D-ZPK5,,,,,,,,,,,,,,,,,,,,,
D-ZPK5-25,592683,3.53073711E-01,1.78712877E-02,1.14580426E+00,5.63723799E-03,7.95754681E-01,1.25202885E+02,,,,,,,123,D,150 ,D-ZPK5-25,,,,,,,,,,,,,,,,,,,,,
H-FK55,550752,5.34931974E-01,1.28059279E-03,8.39050115E-01,1.16444604E-02,8.86511647E-01,1.43252236E+02,,,,,,,114,A,151 ,H-FK55,,,,,,,,,,,,,,,,,,,,,
D-LaF50,774496,1.34473873E+00,6.03619400E-03,1.13288204E+00,9.55213185E+01,7.31048914E-01,2.27061980E-02,,,,,,,73,MA,156 ,D-LaF50,,,,,,,,,,,,,,,,,,,,,
D-LaF50-25,773495,7.34700246E-01,2.26667460E-02,1.33716574E+00,6.01676900E-03,1.13513348E+00,9.57512696E+01,,,,,,,73,MA,156 ,D-LaF50-25,,,,,,,,,,,,,,,,,,,,,
H-FK95N,438945,9.73027043E-01,4.91945800E-03,7.73632160E-02,1.82009400E-02,6.87944956E-01,1.59446090E+02,,,,,,,144,MA,158 ,H-FK95N,,,,,,,,,,,,,,,,,,,,,
H-ZF88GT,946179,2.04275349E+00,1.69742976E-02,1.98276153E+00,1.09068151E+02,5.04267829E-01,7.51710710E-02,,,,,,,60,MA,159 ,H-ZF88GT,,,,,,,,,,,,,,,,,,,,,
D-LaF050,768493,6.53249512E-01,2.36442880E-02,1.20557745E+00,8.55377962E+01,1.40453781E+00,6.36401500E-03,,,,,,,57,D,162 ,D-LaF050,,,,,,,,,,,,,,,,,,,,,
D-LaF050-25,767492,1.22950343E+00,8.73071190E+01,6.41767823E-01,2.37652160E-02,1.41136391E+00,6.45932700E-03,,,,,,,57,D,162 ,D-LaF050-25,,,,,,,,,,,,,,,,,,,,,
H-ZF62GT,923209,2.55246796E+00,1.62450683E+02,4.65681607E-01,6.95600810E-02,2.02894680E+00,1.47711380E-02,,,,,,,64,A,167 ,H-ZF62GT,,,,,,,,,,,,,,,,,,,,,
H-ZPK7,569713,7.25400532E-01,2.96983783E-03,7.03767661E-01,1.34342640E-02,7.72283140E-01,1.35211711E+02,,,,,,,134,MA,169 ,H-ZPK7,,,,,,,,,,,,,,,,,,,,,
D-LaF79,731405,2.65304560E-01,4.20844203E-02,1.45255299E+00,1.17349274E+02,1.65170478E+00,9.35611552E-03,,,,,,,90,D,171 ,D-LaF79,,,,,,,,,,,,,,,,,,,,,
D-LaF79-25,730405,2.44124156E-01,4.30784572E-02,1.39592511E+00,1.13324709E+02,1.66977539E+00,9.64211165E-03,,,,,,,90,D,171 ,D-LaF79-25,,,,,,,,,,,,,,,,,,,,,
D-FK61,497816,8.72991432E-01,4.22111331E-03,7.56437828E-01,1.51201184E+02,3.44497102E-01,1.38938225E-02,,,,,,,145,D,173 ,D-FK61,,,,,,,,,,,,,,,,,,,,,
D-FK61-25,497815,8.94432499E-01,4.36678978E-03,3.21652123E-01,1.41909741E-02,7.48704285E-01,1.49771388E+02,,,,,,,145,D,173 ,D-FK61-25,,,,,,,,,,,,,,,,,,,,,
H-ZF72AGT,923189,4.70478653E-01,7.36024509E-02,2.55040233E+00,1.49306621E+02,2.00593441E+00,1.62999226E-02,,,,,,,67,B,176 ,H-ZF72AGT,,,,,,,,,,,,,,,,,,,,,
TF3,612441,,,,,,,2.54141593E+00,-1.06607788E-02,2.17167210E-02,-4.01848477E-04,1.22475727E-04,-4.77764130E-06,55,D,180 ,TF3,,,,,,,,,,,,,,,,,,,,,
D-FK95,438945,9.73027043E-01,4.91945800E-03,7.73632160E-02,1.82009400E-02,6.87944956E-01,1.59446090E+02,,,,,,,143,B,189 ,D-FK95,,,,,,,,,,,,,,,,,,,,,
D-FK95-25,437944,9.89211963E-01,5.06590700E-03,6.01412620E-02,1.97053860E-02,6.85377886E-01,1.58935083E+02,,,,,,,143,B,189 ,D-FK95-25,,,,,,,,,,,,,,,,,,,,,
D-ZPK7,569713,7.25400532E-01,2.96983783E-03,7.03767661E-01,1.34342640E-02,7.72283140E-01,1.35211711E+02,,,,,,,133,D,189 ,D-ZPK7,,,,,,,,,,,,,,,,,,,,,
D-ZPK7-25,569712,7.14112710E-01,1.33604289E-02,7.13400795E-01,2.89391230E-03,7.65480668E-01,1.34125223E+02,,,,,,,133,D,189 ,D-ZPK7-25,,,,,,,,,,,,,,,,,,,,,
D-ZPK3,594673,9.22289896E-01,1.26503387E-02,5.84492874E-01,1.76614589E-03,1.04970792E+00,1.06089243E+02,,,,,,,92,D,190 ,D-ZPK3,,,,,,,,,,,,,,,,,,,,,
D-ZPK3-25,593672,5.80374258E-01,1.72131188E-03,9.23503788E-01,1.26541722E-02,1.03923776E+00,1.05366349E+02,,,,,,,92,D,190 ,D-ZPK3-25,,,,,,,,,,,,,,,,,,,,,
H-ZLaF69A,816466,1.39269903E+00,5.93335223E-03,8.23697428E-01,2.40980834E-02,1.29547295E+00,9.53762858E+01,,,,,,,64,A,194 ,H-ZLaF69A,,,,,,,,,,,,,,,,,,,,,
H-ZLaF69,816466,6.59414732E-01,2.56059960E-02,1.55675638E+00,7.27769577E-03,1.25417967E+00,9.31176682E+01,,,,,,,64,C,217 ,H-ZLaF69,,,,,,,,,,,,,,,,,,,,,
H-ZLaF68C,883409,1.58833884E+00,6.89365045E-03,8.51761035E-01,2.88290435E-02,1.58277416E+00,1.25035659E+02,,,,,,,70,A,227 ,H-ZLaF68C,,,,,,,,,,,,,,,,,,,,,
D-ZLaF61,822427,4.27425860E-01,3.44432015E-02,1.80371405E+00,8.78105468E-03,1.26949160E+00,9.97953670E+01,,,,,,,66,D,249 ,D-ZLaF61,,,,,,,,,,,,,,,,,,,,,
D-ZLaF61-25,821427,3.84732155E-01,3.55326885E-02,1.84240920E+00,9.16902591E-03,1.21280764E+00,9.59091697E+01,,,,,,,66,D,249 ,D-ZLaF61-25,,,,,,,,,,,,,,,,,,,,,
D-ZF93,002207,1.51323628E+00,1.06262695E+02,2.16740096E+00,1.42318570E-02,6.06108042E-01,6.66586743E-02,,,,,,,78,D,252 ,D-ZF93,,,,,,,,,,,,,,,,,,,,,
D-ZF93-25,000207,1.43302280E+00,1.01185435E+02,2.13630545E+00,1.38161232E-02,6.30184037E-01,6.58578450E-02,,,,,,,78,D,252 ,D-ZF93-25,,,,,,,,,,,,,,,,,,,,,
H-ZF71GT,808227,4.06804868E-01,6.45152130E-02,1.70831097E+00,1.27703237E-02,2.36137303E+00,1.63275585E+02,,,,,,,93,B,253 ,H-ZF71GT,,,,,,,,,,,,,,,,,,,,,
D-ZLaF50,803455,1.13754975E+00,8.76010757E+01,2.73775570E-01,3.48809856E-02,1.89653755E+00,9.82589937E-03,,,,,,,62,D,254 ,D-ZLaF50,,,,,,,,,,,,,,,,,,,,,
D-ZLaF50-25,802455,2.81077854E-01,3.46761107E-02,1.19505397E+00,9.18385642E+01,1.88534009E+00,9.75311743E-03,,,,,,,62,D,254 ,D-ZLaF50-25,,,,,,,,,,,,,,,,,,,,,
D-PK3,525704,6.31688714E-01,1.27792227E-02,6.66896432E-01,3.13927857E-03,8.74644819E-01,9.01740670E+01,,,,,,,81,D,255 ,D-PK3,,,,,,,,,,,,,,,,,,,,,
D-PK3-25,524703,5.13407653E-01,1.73535467E-03,9.23806373E-01,9.53262202E+01,7.81224837E-01,1.18350221E-02,,,,,,,81,D,255 ,D-PK3-25,,,,,,,,,,,,,,,,,,,,,
H-ZF71,808227,4.06804868E-01,6.45152130E-02,1.70831097E+00,1.27703237E-02,2.36137303E+00,1.63275585E+02,,,,,,,93,C,258 ,H-ZF71,,,,,,,,,,,,,,,,,,,,,
H-ZLaF73,881402,5.07090015E-01,3.49987602E-02,1.92430260E+00,9.42878144E-03,1.49886410E+00,1.16086666E+02,,,,,,,68,D,267 ,H-ZLaF73,,,,,,,,,,,,,,,,,,,,,
H-TF29,770298,3.11395761E-01,5.35069704E-02,1.70916917E+00,1.19662527E-02,2.21765932E+00,1.70990180E+02,,,,,,,78,D,278 ,H-TF29,,,,,,,,,,,,,,,,,,,,,
D-ZLaF67,884372,2.10977576E+00,1.11387884E-02,3.24313076E-01,4.53343979E-02,1.37618163E+00,1.04419881E+02,,,,,,,67,D,278 ,D-ZLaF67,,,,,,,,,,,,,,,,,,,,,
D-ZLaF67-25,883372,1.36012388E+00,1.03579888E+02,2.09601012E+00,1.10379620E-02,3.33537105E-01,4.49413554E-02,,,,,,,67,D,278 ,D-ZLaF67-25,,,,,,,,,,,,,,,,,,,,,
H-ZF73,959175,5.28336971E-01,7.59305743E-02,2.05959954E+00,1.71346469E-02,3.58638080E+00,1.89364809E+02,,,,,,,58,C,279 ,H-ZF73,,,,,,,,,,,,,,,,,,,,,
D-ZLaF85A,852401,1.95969458E+00,1.01035507E-02,3.69797190E-01,3.86876073E-02,1.41004927E+00,1.07905684E+02,,,,,,,,A,307 ,D-ZLaF85A,,,,,,,,,,,,,,,,,,,,,
D-ZLaF85A-25,851401,1.37428361E+00,1.05610997E+02,4.12199165E-01,3.73787374E-02,1.91320505E+00,9.75370563E-03,,,,,,,,A,307 ,D-ZLaF85A-25,,,,,,,,,,,,,,,,,,,,,
H-ZLaF68B,883408,,,,,,,3.43418261E+00,-1.06199538E-02,4.00046303E-02,-6.37942235E-04,2.16353029E-04,-8.49876445E-06,68,D,362 ,H-ZLaF68B,,,,,,,,,,,,,,,,,,,,,
H-ZF73GT,959175,5.28336971E-01,7.59305743E-02,2.05959954E+00,1.71346469E-02,3.58638080E+00,1.89364809E+02,,,,,,,58,B,367 ,H-ZF73GT,,,,,,,,,,,,,,,,,,,,,
D-ZLaF85L,854406,5.16695305E-01,3.40497474E-02,1.81900011E+00,8.95670808E-03,1.42320717E+00,1.10045928E+02,,,,,,,63,D,371 ,D-ZLaF85L,,,,,,,,,,,,,,,,,,,,,
D-ZLaF85L-25,853405,1.71754157E+00,8.12526680E-03,6.14249641E-01,3.23072933E-02,1.49329677E+00,1.15416839E+02,,,,,,,63,D,371 ,D-ZLaF85L-25,,,,,,,,,,,,,,,,,,,,,
D-ZLaF85LS,855406,6.38690484E-01,3.19257637E-02,1.69998504E+00,7.91790668E-03,1.45547394E+00,1.12179157E+02,,,,,,,63,D,371 ,D-ZLaF85LS,,,,,,,,,,,,,,,,,,,,,
D-ZLaF85LS-25,853406,1.70152719E+00,7.96295658E-03,6.33298236E-01,3.20099725E-02,1.43191921E+00,1.10679270E+02,,,,,,,63,D,371 ,D-ZLaF85LS-25,,,,,,,,,,,,,,,,,,,,,
