Glass,Code,K1,L1,K2,L2,K3,L3,A0,A1,A2,A3,A4,A5,ThermalExpansion1e-7m/K,Melt Frequency,Relative Price,Glass,,,,,,,,,,,,,,,,,,,,,
ZF7L,805255,,,,,,,3.11724527E+00,-9.77958678E-03,4.31752564E-02,2.52279577E-03,-1.17399740E-04,2.07881157E-05,79,MA,25 ,ZF7L,,,,,,,,,,,,,,,,,,,,,
H-BaK8,573575,8.45101506E-01,1.00298196E+02,1.01452466E+00,5.55241848E-03,4.18518474E-01,2.02280796E-02,,,,,,,74,B,25 ,H-BaK8,,,,,,,,,,,,,,,,,,,,,
H-ZF4A,728283,1.67238093E+00,1.33653851E-02,1.34134437E+00,1.22464022E+02,2.04305471E-01,6.41192325E-02,,,,,,,93,MA,26 ,H-ZF4A,,,,,,,,,,,,,,,,,,,,,
H-ZF3,717295,2.03624748E-01,6.20712732E-02,1.64202576E+00,1.27139992E-02,1.38768085E+00,1.28254467E+02,,,,,,,90,MA,26 ,H-ZF3,,,,,,,,,,,,,,,,,,,,,
F7,636354,,,,,,,2.60275370E+00,-8.46789030E-03,2.46596174E-02,7.44512960E-04,-4.85328405E-06,4.25920114E-06,85,D,26 ,F7,,,,,,,,,,,,,,,,,,,,,
H-ZK20,617539,8.12249368E-01,1.81753969E-02,7.55251214E-01,2.47827771E-03,1.15073913E+00,1.44030731E+02,,,,,,,78,C,26 ,H-ZK20,,,,,,,,,,,,,,,,,,,,,
H-F2,613370,1.40477521E+00,1.04153446E-02,1.17495845E+00,1.13688956E+02,1.30830575E-01,5.68962426E-02,,,,,,,78,B,27 ,H-F2,,,,,,,,,,,,,,,,,,,,,
QF50,581409,1.31145759E+00,9.88576985E-03,8.40047425E-01,1.02880258E+02,1.32407269E-01,4.77527930E-02,,,,,,,90,D,28 ,QF50,,,,,,,,,,,,,,,,,,,,,
H-ZBaF21,723380,1.71447483E+00,1.06695401E-02,1.72919641E-01,5.36257488E-02,1.37586664E+00,1.27687623E+02,,,,,,,76,A,28 ,H-ZBaF21,,,,,,,,,,,,,,,,,,,,,
H-ZBaF52,670472,1.51688354E+00,8.57006565E-03,2.11371553E-01,3.70160061E-02,1.35763017E+00,1.44349229E+02,,,,,,,70,A,28 ,H-ZBaF52,,,,,,,,,,,,,,,,,,,,,
H-ZBaF20,702412,1.55463018E-01,5.00496620E-02,1.22204789E+00,1.19801735E+02,1.66611640E+00,1.02206327E-02,,,,,,,69,A,28 ,H-ZBaF20,,,,,,,,,,,,,,,,,,,,,
H-LaK51A,697555,6.39398694E-01,5.67124825E-05,1.18748481E+00,1.58001968E-02,1.26545352E+00,9.10970530E+01,,,,,,,63,MA,28 ,H-LaK51A,,,,,,,,,,,,,,,,,,,,,
H-LaK7A,713538,1.20674811E+00,8.43499012E+01,1.06717731E+00,4.38189500E-03,8.11229515E-01,1.89828890E-02,,,,,,,55,MA,28 ,H-LaK7A,,,,,,,,,,,,,,,,,,,,,
H-ZF4AGT,728283,1.67238093E+00,1.33653851E-02,1.34134437E+00,1.22464022E+02,2.04305471E-01,6.41192325E-02,,,,,,,93,MA,29 ,H-ZF4AGT,,,,,,,,,,,,,,,,,,,,,
H-K50,522595,1.19524701E+00,7.64077104E-03,8.95076933E-02,3.18085706E-02,9.20217443E-01,1.09312054E+02,,,,,,,79,D,29 ,H-K50,,,,,,,,,,,,,,,,,,,,,
H-F6,625356,1.44071636E+00,1.10480895E-02,1.28999184E-01,5.90811678E-02,1.16853639E+00,1.15021995E+02,,,,,,,78,D,29 ,H-F6,,,,,,,,,,,,,,,,,,,,,
